state,city,last_updated_day,PM10,PM2,NO2,NH3,SO2,CO,OZONE,AQI
Delhi,Delhi,2015-01-01,241.7,153.3,33.0,38.5,64.5,1.87,83.6,204.5
West Bengal,Kolkata,2015-01-01,543.9,477.2,76.4,45.6,42.1,2.41,171.1,174.4
Karnataka,Bangalore,2015-01-01,117.7,171.6,12.4,49.7,79.7,1.26,164.3,489.7
Delhi,Delhi,2015-01-02,173.2,344.2,128.4,15.6,7.5,6.28,9.4,238.5
West Bengal,Kolkata,2015-01-02,599.3,329.8,34.0,24.1,63.4,3.63,111.2,139.8
Karnataka,Bangalore,2015-01-02,317.5,22.5,62.4,46.7,59.7,0.0,49.8,243.3
Delhi,Delhi,2015-01-03,20.1,473.9,102.7,42.5,29.8,0.04,42.0,77.6
West Bengal,Kolkata,2015-01-03,422.5,393.0,112.1,40.6,3.7,5.72,60.8,491.8
Karnataka,Bangalore,2015-01-03,69.9,269.3,107.3,36.4,12.8,7.44,119.4,148.5
Karnataka,Bangalore,2015-01-04,295.7,56.1,146.1,39.8,59.1,6.47,109.1,423.3
West Bengal,Kolkata,2015-01-04,70.4,392.0,127.9,6.7,51.4,5.02,105.6,119.5
Delhi,Delhi,2015-01-04,414.8,32.4,25.6,13.2,50.4,2.47,80.2,85.4
Delhi,Delhi,2015-01-05,155.8,312.8,106.8,4.9,2.0,4.04,101.3,396.8
West Bengal,Kolkata,2015-01-05,515.0,298.2,101.8,35.3,19.4,4.17,197.7,473.1
Karnataka,Bangalore,2015-01-05,321.1,263.8,40.5,0.6,56.2,7.3,14.2,119.5
Delhi,Delhi,2015-01-06,91.4,390.7,131.8,46.0,84.1,1.17,177.5,360.3
West Bengal,Kolkata,2015-01-06,560.1,191.5,4.5,49.0,23.2,8.89,35.5,15.0
Karnataka,Bangalore,2015-01-06,500.7,432.2,80.8,6.5,90.4,0.34,113.1,120.7
Delhi,Delhi,2015-01-07,420.9,282.3,134.7,25.8,15.7,1.15,85.2,370.3
West Bengal,Kolkata,2015-01-07,120.8,121.4,10.4,40.1,28.8,4.96,51.1,493.6
Karnataka,Bangalore,2015-01-07,583.2,122.9,146.3,27.8,71.2,2.65,78.8,421.8
Karnataka,Bangalore,2015-01-08,237.9,409.8,41.6,31.3,6.1,4.41,66.2,487.3
Delhi,Delhi,2015-01-08,354.9,315.2,45.6,37.1,84.6,6.81,28.8,230.7
West Bengal,Kolkata,2015-01-08,199.9,308.5,144.2,49.7,40.8,0.34,197.1,82.2
Delhi,Delhi,2015-01-09,103.0,226.8,100.6,23.4,56.6,9.29,118.8,53.6
West Bengal,Kolkata,2015-01-09,142.6,172.4,71.3,26.7,11.2,1.27,86.7,5.9
Karnataka,Bangalore,2015-01-09,270.7,77.8,66.6,36.5,73.2,2.06,159.6,8.0
Delhi,Delhi,2015-01-10,209.1,316.8,100.0,36.8,11.2,3.37,4.4,29.9
West Bengal,Kolkata,2015-01-10,586.8,415.5,138.5,47.7,59.6,4.33,59.2,446.7
Karnataka,Bangalore,2015-01-10,460.8,449.3,2.8,36.7,26.9,8.78,76.1,275.2
Karnataka,Bangalore,2015-01-11,237.2,470.4,49.5,43.0,92.9,8.68,158.0,418.5
West Bengal,Kolkata,2015-01-11,457.5,340.3,148.7,9.2,60.6,6.18,59.5,168.6
Delhi,Delhi,2015-01-11,495.3,439.9,93.8,22.8,79.3,9.87,119.7,450.2
Delhi,Delhi,2015-01-12,239.1,59.0,118.4,32.1,90.7,0.1,191.8,467.8
West Bengal,Kolkata,2015-01-12,533.8,44.1,34.1,27.7,50.7,7.51,19.7,475.9
Karnataka,Bangalore,2015-01-12,431.8,138.2,46.9,22.2,70.2,6.57,128.9,69.7
Delhi,Delhi,2015-01-13,408.7,15.9,33.6,31.7,12.3,9.49,25.7,265.3
West Bengal,Kolkata,2015-01-13,353.5,155.0,48.9,34.3,11.2,9.64,86.6,168.9
Karnataka,Bangalore,2015-01-13,59.5,146.7,32.7,14.6,50.5,1.0,101.1,100.7
West Bengal,Kolkata,2015-01-14,283.7,93.6,35.6,14.7,42.8,3.79,85.2,89.7
Karnataka,Bangalore,2015-01-14,70.9,487.0,53.5,5.6,75.5,6.43,24.0,374.0
